System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_01.mkv,0.4710,1879.26
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_04.mkv,0.5674,1113.00
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_07.mkv,0.6126,1139.78
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_03.mkv,0.5129,3920.98
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_05.mkv,0.5111,2217.21
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_02.mkv,0.4467,698.97
specialized,['PSY_NO'],psyno,ultrafast,measures/in/o1.mkv,0.4993,1746.47
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_06.mkv,0.1784,416.18
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_08.mkv,0.4684,3016.81
specialized,['PSY_NO'],psyno,fast,measures/in/original_01.mkv,1.4257,1178.70
specialized,['PSY_NO'],psyno,fast,measures/in/original_04.mkv,0.7516,285.09
specialized,['PSY_NO'],psyno,fast,measures/in/original_07.mkv,1.1200,381.23
specialized,['PSY_NO'],psyno,fast,measures/in/original_03.mkv,2.0388,2478.86
specialized,['PSY_NO'],psyno,fast,measures/in/original_05.mkv,1.6302,1239.66
specialized,['PSY_NO'],psyno,fast,measures/in/original_02.mkv,1.3233,347.19
specialized,['PSY_NO'],psyno,fast,measures/in/o1.mkv,1.5011,1044.34
specialized,['PSY_NO'],psyno,fast,measures/in/original_06.mkv,0.2721,80.21
specialized,['PSY_NO'],psyno,fast,measures/in/original_08.mkv,2.3953,1585.01
