Specialized_sys,Binary_size,All_gadgets,ROP_gadgets,JOP_gadgets,SYS_gadgets
BASELINE,3096176,106495,23146,84121,3
['PSY_YES'],3096144,106689,23234,84210,2
"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",2899104,98852,22164,77395,8
"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",2982872,101777,22472,80075,9
['MBTREE_YES'],3079360,105636,23117,83252,15
"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",2986992,101859,22426,80210,13
"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",2986992,101859,22426,80210,13
['CABAC_NO'],2995424,102232,22485,80541,4
['MBTREE_NO'],3096144,106682,23237,84207,5
"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",2986992,101859,22426,80210,13
['CABAC_YES'],2928488,99464,22535,77627,10
['MIXED_REFS_NO'],3087808,105957,23195,83536,7
['MIXED_REFS_YES'],3083696,106807,23014,84556,4
['WEIGHTB_YES'],3096096,106550,23143,84177,3
['WEIGHTB_NO'],3096144,106470,23195,84036,4
"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",2982872,101777,22472,80075,9
"['CABAC_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES', 'MBTREE_YES']",2966088,101302,22279,79794,5
"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",2986992,101859,22426,80210,13
['PSY_NO'],3096144,106943,23362,84329,7
"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",2986992,101859,22426,80210,13
"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",2986992,101859,22426,80210,13
